Data;Ora;Luogo;Incidenti;Feriti;X;Y
2018-07-02;14:50;VIALE MARCHESE DI VILLABIANCA intersezione VIA DE COSMI GIOVANNI AGOSTINO;C;;13,349372;38,138762
2018-06-14;07:45;VIA MESSINA MARINE intersezione VIA SAETTA ANTONINO;C;;13,381555;38,10779
2018-06-26;12:15;VIA PONTE DI MARE altezza (spec.) farmacia;F;1;13,378491;38,111132
2018-07-02;18:25;VIALE REGIONE SICILIANA S.E. intersezione con VIA MULE' GIUSEPPE;F;1;13,330533;38,10145
2018-07-03;00:05;VIA BRUNELLESCHI FILIPPO intersezione con VIA SCAGLIONE PIETRO;F;2;13,314039;38,139751
2018-07-03;00:25;VIA MESSINA MARINE pressi 241;F;3;13,38733;38,105859
2018-07-02;16:35;CORSO CALATAFIMI nr. 621;C;;13,333266;38,104429
2018-07-03;07:15;VIA BACHELET VITTORIO altezza del civico 108;R;;13,328587;38,084637
2018-07-02;17:30;PIAZZA AMENDOLA GIOVANNI nr. 2;C;;13,351961;38,121848
2018-07-03;09:40;VIA NICASTRO GUSTAVO AMM. altezza del civico 11;F;2;13,359009;38,148437
2018-07-03;09:45;VIA SAURO NAZARIO intersezione con VIA BALCESCU NICOLA;F;1;13,331789;38,123182
2018-07-03;15:20;CORSO ALBERTO AMEDEO intersezione con CSO FINOCCHIARO APRILE CAMILLO;F;1;13,350803;38,118844
2018-07-03;19:15;VIALE COLONIA MARINA altezza del civico 19/A;C;;13,33538;38,194096
2018-07-03;19:30;VIA AMARILLI altezza del civico 14;F;1;13,305446;38,197115
2018-07-03;20:45;VIA PARUTA FILIPPO intersezione con VIA DUE VANELLE;F;2;13,319687;38,093871
2018-07-04;09:00;CORSO TUKORY intersezione con VIA FILICIUZZA;C;;13,356471;38,108173
2018-06-29;10:25;PZZA ORLANDO VITTORIO EMANUELE altezza del civico 25;F;1;13,351037;38,119605
2018-07-04;13:00;VIALE REGIONE SICILIANA N.O. di fronte al civico 3616;F;1;13,330388;38,137073
2018-07-04;13:30;VIA CALA altezza (inters.) PIAZZA CAPITANERIA DEL PORTO;F;1;13,366078;38,120921
2018-06-28;15:45;VIA NINA SICILIANA pressi GARAGE DI BELLA;C;;13,331663;38,11685
2018-06-30;20:10;LARGO CAVALIERI DI MALTA intersezione VIA SQUARCIALUPO;C;;13,363856;38,120812
2018-07-03;07:00;VIALE DE GASPERI ALCIDE nr. 205;C;;13,332476;38,14912
2018-07-04;13:30;VIA CALA altezza (inters.) PIAZZA CAPITANERIA DEL PORTO;F;1;13,366367;38,120225
2018-07-04;16:45;VIALE REGIONE SICILIANA N.O. di fronte al civico 2197;F;1;13,329517;38,123087
2018-07-04;18:15;VIALE LEONARDO DA VINCI altezza (inters.) VIA POLITI RAFFAELLO;F;3;13,314763;38,126734
2018-07-04;17:30;VIA TOMMASO NATALE altezza del civico 210;C;;13,28835;38,18822
2018-07-04;21:20;VIA DUCA DELLA VERDURA intersezione con VIA DALLA CHIESA C. A. GEN.;F;1;13,352279;38,134314
2018-07-05;09:10;VIALE LAZIO intersezione con VIALE CAMPANIA;F;1;13,340225;38,142889
2018-07-05;15:00;VIALE ERCOLE in direzione di mt. 650 CASE ROCCA;F;1;13,34142;38,160003
2018-07-05;15:25;PIAZZA LEONI intersezione con VIALE DIANA;F;1;13,343812;38,146798
2018-07-05;12:50;VIA DI MARIA EUGENIO GEN. intersezione con VIA NOTARBARTOLO EMANUELE;F;1;13,342421;38,131852
2018-07-05;17:50;VIA SAMMARTINO intersezione con VIA AGRIGENTO;F;1;13,348637;38,126953
2018-07-05;22:20;VIA CALASCIBETTA altezza del civico 12;C;;13,365797;38,115864
2018-07-05;17:20;VIA NOTARBARTOLO EMANUELE nr. 26;F;1;13,345988;38,132632
2018-07-06;08:20;VIA ONORATO CARMELO intersezione CORSO CALATAFIMI;F;1;13,345259;38,109083
2018-06-27;10:10;VIA SCIMONELLI IGNAZIO altezza del civico 13;C;;13,345756;38,121574
2018-07-04;15:30;PIAZZA GIULIO CESARE pressi P.ZA S.ANTONINO;C;;13,365362;38,110151
2018-06-26;12:00;VIA SENOCRATE DI AGRIGENTO intersezione VIA CARNERA PRIMO;C;;13,317728;38,181272
2018-07-06;10:30;VIALE REGIONE SICILIANA S.E. altezza (spec.) soprapassaggio VIA LA LOGGIA GAETANO;F;3;13,330109;38,106489
2018-07-06;12:20;CORSO CALATAFIMI intersezione con VIA CAPPUCCINI;C;;13,350064;38,111088
2018-06-30;02:10;VIA LANZA DI SCALEA GIUSEPPE altezza (inters.) VIA SPADOLINI GIOVANNI;F;1;13,308767;38,17756
2018-07-06;12:30;CORSO CALATAFIMI altezza del civico 1098;F;1;13,30686;38,093017
2018-07-06;14:00;VIA MESSINA MONTAGNE intersezione con VIA FIUME SALVATORE;F;1;13,430329;38,082964
2018-07-06;19:15;VIA PARTANNA MONDELLO altezza del civico 169;F;1;13,311102;38,196175
2018-07-07;04:50;VIALE ERCOLE a mt. 300 PRIMA  CASE;C;;13,341083;38,160635
2018-07-07;09:00;VIA TRASSELLI CARMELO altezza del civico 20;F;1;13,339267;38,105633
2018-07-07;12:50;PIAZZA MONDELLO altezza del civico 1;C;;13,327002;38,20756
2018-07-07;13:00;VIA NOTARBARTOLO EMANUELE altezza del civico 24H;F;1;13,346138;38,132668
2018-07-07;16:30;VIA RUGGERI LEONARDO altezza del civico 4;F;2;13,318098;38,124161
2018-07-07;12:11;VIA ZANDONAI RICCARDO nr. 6;F;1;13,339162;38,133604
2018-07-07;17:00;VIA DE COSMI GIOVANNI AGOSTINO intersezione con VIA TOSELLI PIETRO MAGG.;F;1;13,350472;38,139171
2018-07-07;20:00;VIA DEI QUARTIERI nr. 21/I;F;1;13,328476;38,16266
2018-07-08;10:15;VIALE ERCOLE a mt. 10;F;1;13,341083;38,160635
2018-07-08;12:05;VIA CIRRINCIONE ANDREA altezza del civico 60;F;1;13,354054;38,146228
2018-07-07;12:15;VIA PRINCIPE DI VILLAFRANCA intersezione con VIA MESSINA;C;;13,351259;38,126
2018-07-08;19:00;VIALE MARGHERITA DI SAVOIA;F;1;13,333958;38,182873
2018-07-09;09:20;VIA UDITORE altezza del civico 19;F;1;13,324005;38,131845
2018-07-09;08:15;VIALE DE GASPERI ALCIDE intersezione VIALE STRASBURGO;C;;13,332934;38,149142
2018-07-09;10:50;VIALE STRASBURGO intersezione con VIA BRIUCCIA;F;1;13,331712;38,150953
2018-07-09;12:00;VIA MESSINA MARINE nr. 531;F;3;13,411293;38,097961
2018-07-09;13:50;VIA MESSINA MARINE nr. 85;F;2;13,381328;38,107995
2018-07-06;11:25;VIALE REGIONE SICILIANA altezza (spec.) DISTR. ENI;C;;13,328994;38,122678
2018-07-09;13:30;CORSO DEI MILLE intersezione con VIA LAUDICINA ANTONINO;F;2;13,409842;38,092582
2018-07-07;17:40;PIAZZA VALDESI altezza (inters.) VIALE MARGHERITA DI SAVOIA;C;;13,331718;38,196648
2018-07-08;03:50;PIAZZA AMENDOLA GIOVANNI altezza del civico 31;C;;13,350795;38,122486
2018-07-09;14:45;VIALE PRINCIPESSA IOLANDA intersezione con VIALE COLONIA MARINA;F;1;13,334208;38,193901
2018-07-09;23:40;VIALE REGIONE SICILIANA N.O. di fronte al civico 4571;C;;13,329941;38,128039
2018-07-09;17:45;VIA CASTELLANA in prossimit? di intersezione;R;;13,297195;38,125708
2018-07-06;12:00;VIA DANTE intersezione con VIA D'ASARO PIETRO;F;1;13,347555;38,122959
2018-07-09;13:00;VIA PAZIENZA intersezione con VIA DIOMEDE;F;1;13,318222;38,20035
2018-07-10;07:35;CORSO TUKORY altezza del civico 173;F;1;13,358194;38,108706
2018-07-05;15:40;VIALE DEL FANTE altezza del civico 56;C;;13,342112;38,150091
2018-07-09;17:00;VIALE MARGHERITA DI SAVOIA altezza (inters.) VIALE DELLE PALME;F;2;13,331877;38,196092
2018-07-10;09:00;VIALE LEONARDO DA VINCI nr. 472;R;;13,303863;38,125952
2018-06-22;14:00;VIALE MICHELANGELO;C;;13,316676;38,136288
2018-07-08;09:50;VIA CALVI PASQUALE intersezione VIA ALBANESE ENRICO;C;;13,354945;38,13012
2018-07-10;14:20;VIA D'ANNUNZIO GABRIELE altezza del civico 4;C;;13,346004;38,138416
2018-07-10;15:50;VIA PANTALICA intersezione con VIA CASTELLANA;F;1;13,292542;38,125734
2018-07-10;16:30;VIA AGESIA DI SIRACUSA intersezione con VIA CARNERA PRIMO;C;;13,316964;38,182353
2018-07-10;18:00;VIA ARCHIMEDE intersezione con VIA DAITA GAETANO;F;1;13,354086;38,128448
2018-07-04;09:55;VIA CASSARA' ANTONINO altezza del civico 2;C;;13,340635;38,151617
2018-07-11;08:30;VIA BORDONARO di fronte civ. 22;F;1;13,367687;38,165348
2018-07-09;20:00;VIALE REGIONE SICILIANA direzione TP/CT VIALE REGIONE SICILIANA;C;;13,328838;38,11801
2018-05-19;19:05;VIA DUCA DELLA VERDURA intersezione VIA DALLA CHIESA C. A. GEN.;F;1;13,352339;38,134358
2018-07-11;08:45;VIALE DEI PICCIOTTI di fronte al civico 32;F;1;13,382441;38,105106
2018-07-11;12:20;VIALE DUCA DEGLI ABRUZZI altezza del civico 8;F;1;13,327856;38,170264
2018-07-01;17:30;VIA PACINOTTI ANTONIO altezza del civico 36;C;;13,335575;38,129207
2018-07-07;17:00;VIA DELLE CROCI altezza (inters.) VIA VENTURA GIOACCHINO;C;;13,355206;38,13183
2018-07-11;14:15;VIA ARCHIMEDE intersezione con VIA LA LUMIA ISIDORO;F;1;13,354863;38,128798
2018-07-11;16:05;VIA PRINCIPE DI PALAGONIA intersezione con VIA PEROSI LORENZO;F;1;13,336082;38,135242
2018-07-11;16:05;VIA SALAMONE MARINO SALVATORE intersezione con VIA ARCOLEO GIORGIO;C;;13,360372;38,107831
2018-07-11;20:00;VIA BARACCA FRANCESCO altezza del civico 56;F;1;13,304852;38,108956
2018-07-11;21:50;VIALE DELL'OLIMPO nr. 3;F;3;13,319708;38,189129
2018-07-12;03:50;VIA DELLA LIBERTA' intersezione con VIA DI GIORGIO ANTONINO GEN.;C;;13,343128;38,143816
2018-07-12;09:00;VIA DANTE nr. 144;F;1;13,347549;38,122885
2018-07-12;10:00;VIA DELL'ERMELLINO di fronte al civico 35;C;;13,364573;38,086611
2018-07-12;10:40;VIA LINCOLN nr. 101;F;2;13,370056;38,112616
2018-07-12;11:30;VIA MONTEPELLEGRINO altezza del civico 62;F;1;13,357613;38,139258
2018-07-12;13:15;VIALE MARGHERITA DI SAVOIA altezza (inters.) VIALE VENERE;C;;13,332581;38,19012
2018-07-12;12:00;VIA DALLA CHIESA C. A. GEN. nr. 54;F;3;13,352916;38,13357
2018-07-12;15:20;VIALE REGIONE SICILIANA S.E. carreggiata centrale DIR. TP VIA DEL PELLICANO;C;;13,356834;38,086966
2018-07-12;14:25;VIA BARBARIGO AGOSTINO pressi 9;C;;13,347031;38,189875
2018-07-12;19:15;VIALE VENERE intersezione con PIAZZA CASTELFORTE;C;;13,323398;38,188963
2018-07-12;21:55;VIA DAMMUSO intersezione con VIA TRITONE;F;4;13,28049;38,201341
2018-07-13;02:15;VIA MESSINA MARINE altezza del civico 659;F;1;13,416763;38,097472
2018-07-13;07:15;CORSO RE RUGGERO altezza (spec.) ingresso parco;C;;13,353956;38,10913
2018-07-13;09:00;PIAZZA PONTE DELL'AMMIRAGLIO di fronte al civico 18;F;1;13,374551;38,104681
2018-07-13;11:00;VIA PARISI ENRICO intersezione con VIA GARZILLI NICCOLO';F;1;13,352332;38,125908
2018-07-12;12:35;VIA CRISPI FRANCESCO altezza (inters.) VIA AMARI EMERICO;F;1;13,362338;38,127042
2018-07-13;13:30;VIA SERRADIFALCO intersezione con VIA BERNABEI ERCOLE;C;;13,337595;38,127844
2018-07-13;17:15;VIA IMERA intersezione con VIA LASCARIS COSTANTINO;C;;13,348714;38,117016
2018-07-11;22:00;VIA S.CRISTOFORO altezza del civico 17;C;;13,364536;38,113916
2018-07-13;18:30;VIALE REGIONE SICILIANA N.O. di fronte al civico 3666;F;2;13,331019;38,136356
2018-07-13;19:10;VIALE REGIONE SICILIANA S.E. intersezione VIA PERLASCA GIORGIO;F;1;13,365658;38,088322
2018-07-13;21:50;VIALE DELLE PALME intersezione VIALE PRINCIPESSA MAFALDA;F;2;13,335048;38,19545
2018-07-14;17:45;VIA DI MARZO GIOACCHINO intersezione con VIA PETRARCA FRANCESCO;F;1;13,347378;38,134147
2018-07-14;17:45;VIA MORELLO NUNZIO intersezione con VIA COSTANTINO DOMENICO;F;1;13,344811;38,13146
2018-07-15;00:55;VIALE NICOLETTI ROSARIO altezza (inters.) VIA SFERRACAVALLO;F;2;13,295252;38,189035
2018-07-15;01:15;VIA CRISPI FRANCESCO intersezione con VIA AMARI EMERICO;F;1;13,362437;38,127017
2018-07-15;14:40;VIA PRINCIPE DI PATERNO' intersezione VIALE GIULIANO BORIS;F;2;13,341954;38,140184
2018-07-16;00:25;VIA CORSELLI altezza del civico 5;C;;13,397596;38,096564
2018-07-13;19:15;VIALE VENERE in prossimit? di civ.37;F;1;13,332138;38,190065
2018-07-13;20:15;PIAZZA CELLINI BENVENUTO nr. 9;C;;13,309372;38,137667
2018-07-14;00:40;CORSO DEI MILLE altezza (spec.) VIA ROCCO PIRRI;F;2;13,369446;38,110106
2018-07-14;00:30;CORSO DEI MILLE altezza (spec.) VIA ROCCO PIRRI;F;2;13,369411;38,110117
2018-07-15;03:00;VIALE ERCOLE altezza (spec.) case rocca;C;;13,341083;38,160635
2018-07-14;02:00;VIA DEL VESPRO altezza (spec.) INGR. PS POLICL;F;1;13,362726;38,105283
2018-07-09;13:30;VIALE MICHELANGELO altezza del civico 1171;C;;13,317536;38,136782
2018-07-14;02:30;VIALE PRINCIPESSA MARIA intersezione con VIALE DELLE PALME;F;2;13,335076;38,195466
2018-07-15;16:05;VIA RESTIVO EMPEDOCLE intersezione con VIALE LAZIO;F;1;13,337419;38,141991
2018-07-15;17:45;VIA LI BASSI GIUSEPPE intersezione con VIA LUCCHINI FRANCO;F;2;13,352897;38,100292
2018-07-16;16:45;VIA ALBANESE ENRICO intersezione con VIA CALVI PASQUALE;C;;13,354947;38,130083
2018-07-16;17:50;VIALE REGINA ELENA di fronte al civico 1/C;F;1;13,325281;38,206062
2018-07-17;07:40;VIA S.LORENZO intersezione con VIA SPADOLINI GIOVANNI;F;1;13,312337;38,168786
2018-07-17;10:00;CORSO CALATAFIMI altezza del civico 241;F;1;13,34299;38,10822
2018-07-17;10:35;VIALE LAZIO altezza del civico 69;F;1;13,334597;38,141149
2018-07-17;12:40;VIA DI BLASI E. GIOVANNI intersezione con VIA SALERNITANO ROMUALDO;R;;13,315918;38,124857
2018-07-17;12:10;VIALE MARGHERITA DI SAVOIA pressi n? civico 78;F;1;13,334185;38,182567
2018-07-17;14:00;VIA MESSINA MONTAGNE altezza del civico 1425;F;1;13,430438;38,082902
2018-07-17;17:35;VIA MARINAI ALLIATA intersezione con VIALE VENERE;C;;13,328334;38,189554
2018-07-17;19:55;LUNGOMARE COLOMBO CRISTOFORO intersezione con VIALE PRINCIPESSA MARIA;F;2;13,336892;38,19561
2018-07-17;20:20;VIALE VENERE altezza del civico 39;F;1;13,332274;38,189983
2018-07-17;21:45;VIA MONTE ERCTA in direzione di - VIALE MARGHERITA DI SAVOIA;F;1;13,335258;38,178827
2018-07-18;02:15;VIALE REGIONE SICILIANA N.O. altezza del civico 2620;F;2;13,329816;38,127007
2018-07-18;07:00;VIALE ERCOLE pressi PRESSI VIALE MARGHERITA DI SAVOIA;F;1;13,339357;38,166293
2018-07-17;11:30;VIALE MARGHERITA DI SAVOIA altezza (inters.) VIA MATER DOLOROSA;C;;13,336068;38,176288
2018-07-18;08:30;VIA DUCA DELLA VERDURA intersezione con VIALE MARCHESE DI VILLABIANCA;C;;13,352272;38,134353
2018-07-18;10:00;VIA MESSINA MARINE, 783;F;1;13,427669;38,096531
2018-06-19;13:25;VIA AFRICA,  7/A;C;;13,332345;38,154633
2018-07-18;13:00;VIA PARTANNA MONDELLO;F;1;13,30141;38,191997
2018-07-16;10:20;VIA BADIA, 255 c;F;1;13,317274;38,138375
2018-07-16;11:00;VIA LA MASA GIUSEPPE , 3;C;;13,361975;38,125373
2018-07-17;12:05;VIALE PRINCIPE DI SCALEA ,  10;C;;13,330743;38,196976
2018-07-18;00:15;VIALE REGIONE SICILIANA S.E.;F;2;13,336652;38,095576
2018-07-18;12:35;VIA UDITORE;F;1;13,325322;38,130365
2018-07-18;13:30;VIA LANZA DI SCALEA GIUSEPPE;F;2;13,308484;38,177463
2018-07-18;13:20;VIALE MARCHESE DI VILLABIANCA;F;1;13,350081;38,13825
2018-07-19;06:50;VIA MESSINA MONTAGNE , 1662;F;1;13,430438;38,082902
2018-07-19;12:40;PIAZZA NOCE;F;1;13,333653;38,122193
2018-07-19;12:00;VIALE REGIONE SICILIANA S.E.;F;1;13,34228;38,091467
2018-07-19;13:15;VIA XIMENES ETTORE;F;1;13,357799;38,129624
2018-07-12;11:00;PIAZZA VITTORIO VENETO , 17;C;;13,34248;38,14567
2018-07-19;17:25;VIALE LEONARDO DA VINCI;F;1;13,320121;38,126898
2018-07-19;22:15;VIALE PAPA GIOVANNI XXIII;C;;13,361812;38,085133
2018-07-20;01:20;VIA MARGHERITO DA BRINDISI , 1;C;;13,346628;38,189175
2018-07-19;13:05;VIALE STRASBURGO;F;2;13,326225;38,157114
2018-07-18;10:10;VIA SERGIO PAPA I , 61;F;1;13,370705;38,153386
2018-07-19;07:55;VIA TURRISI NICOLO';F;1;13,352469;38,120134
2018-07-19;08:30;VIA MESSINA MARINE , 307;F;1;13,390227;38,104571
2018-07-20;14:00;VIA JUVARA ALOISIO , 42;F;1;13,361502;38,139131
2018-07-20;16:15;VIA CORSELLI;F;1;13,430473;38,091887
2018-07-20;18:10;VIA CASTELLANA ,  292;F;1;13,289848;38,125831
2018-07-21;02:05;VIA DI BLASI E. GIOVANNI;F;1;13,344253;38,139557
2018-07-21;03:25;VIA LEOPARDI GIACOMO;F;2;13,345496;38,134898
2018-07-21;08:30;VIA NOCE ,  29;F;1;13,338476;38,120285
2018-07-21;12:00;CORSO CALATAFIMI ,  525;C;;13,33586;38,10534
2018-07-21;14:00;VIA ERICE;F;2;13,289813;38,129012
2018-07-21;11:45;VIA PECORAINO FILIPPO;C;;13,402485;38,093907
2018-07-21;23:10;VIA SCIUTI GIUSEPPE , 1;F;3;13,343428;38,132451
2018-07-22;02:45;PIAZZA CAPONNETTO ANTONINO;F;2;13,357839;38,135025
2018-07-22;09:30;PIAZZA STURZO LUIGI;F;1;13,357772;38,126622
2018-07-22;01:00;VIA PASOLINI PIER PAOLO;C;;13,350324;38,116702
2018-07-22;11:40;VIA CRUILLAS , 2;F;1;13,327521;38,140458
2018-07-21;08:30;V. CROCIFISSO A PIETRATAGLIATA , 66;C;;13,326045;38,10292
2018-07-22;16:20;VIALE STRASBURGO;F;1;13,326225;38,157114
2018-07-23;01:15;VIALE MARGHERITA DI SAVOIA;F;2;13,334042;38,182743
2018-07-23;02:35;VIA RAMPOLLA MARIANO CARDINALE , 27;C;;13,36542;38,148759
2018-07-21;04:00;VIA CALA , VIA CASSARI;C;;13,367103;38,118896
2018-07-23;03:00;VIA DEL BERSAGLIERE , 56;C;;13,343249;38,146088
2018-07-18;18:00;VIALE GALATEA , 53;C;;13,31895;38,19857
2018-07-23;09:00;VIA TURRISI NICOLO';C;;13,352469;38,120134
2018-07-23;09:00;VIA TURRISI NICOLO';C;;13,352469;38,120134
2018-06-19;11:00;PZZA ORLANDO VITTORIO EMANUELE;C;;13,350968;38,119353
15/07/2018;00:25;VIA ROMA;C;;13,359885;38,123145
2018-07-17;10:00;VIALE ERCOLE;F;1;13,341083;38,160635
19/07/2018;16:10;VIA ROMA;F;1;13,359906;38,123112
